,subjects,Lateral-nucleus,Basal-nucleus,Accessory-Basal-nucleus,Anterior-amygdaloid-area-AAA,Central-nucleus,Medial-nucleus,Cortical-nucleus,Corticoamygdaloid-transitio,Paralaminar-nucleus,Whole_amygdala
0,0539,896.345244,560.440319,328.404179,62.976388,71.293146,33.67935,34.664322,199.152712,61.990417,2248.946076
1,0697,682.324976,477.622527,295.927137,69.949267,47.616919,16.024427,26.296808,193.718616,50.21105,1859.691727
2,0750,582.239688,431.68176,277.715488,52.538594,51.699371,18.781795,27.379977,199.902715,47.301272,1689.24066
3,0756,717.504093,469.659817,286.090549,53.934368,53.178918,32.785897,30.254392,196.61726,53.148673,1893.173966
4,0832,737.717186,496.900047,278.653491,54.617995,52.195444,17.000383,22.872212,182.690379,52.939505,1895.586643
5,0835,778.084387,510.739434,301.31525,64.27679,49.265695,25.318973,28.368747,197.795414,55.926773,2011.091463
6,0836,697.660718,453.733984,284.467678,62.936261,35.564652,14.463414,26.98098,193.507912,50.71819,1820.033788
7,0838,646.446363,441.833632,263.69735,57.063893,42.067343,16.089991,24.253202,177.785467,47.688972,1716.926213
8,0839,671.871899,445.43573,238.498167,55.294529,41.504347,24.438987,23.677563,182.344723,55.096114,1738.16206
9,0840,659.299358,422.755526,196.909475,48.4608,26.092504,9.282338,13.095416,145.103913,53.170667,1574.169996
10,0841,614.483961,404.878583,230.178982,45.046212,28.964531,15.872172,21.317751,186.554155,50.327081,1597.623427
11,0842,657.230842,465.56091,275.263536,59.825202,38.886785,13.179643,24.429319,189.963209,48.22682,1772.566267
12,0844,660.173311,455.485327,265.228077,51.844184,36.413701,14.920843,23.015642,185.489817,51.376356,1743.947257
13,0845,755.937417,549.848053,328.863122,64.260213,54.604746,29.373311,28.627433,240.88996,63.08612,2115.490376
14,0847,745.044296,458.2286,261.784784,68.721444,37.310667,15.850211,25.466308,190.277415,53.990788,1856.674514
15,0849,705.874141,428.001571,252.301086,60.016448,38.082821,23.825773,26.218544,175.607058,50.732912,1760.660354
16,0850,590.655258,384.725855,231.483833,52.692187,36.748427,20.796509,22.35008,162.47516,45.713757,1547.641065
17,0852,590.94772,384.922289,226.867315,45.803417,34.054168,15.244197,19.11528,155.540833,45.619695,1518.114914
18,0853,622.8852,418.101112,250.369649,48.413665,33.230799,14.519452,22.709877,191.797422,47.438864,1649.46604
19,0856,619.344927,423.701683,242.6195,51.026192,37.679772,18.047261,21.927192,175.860368,49.342835,1639.54973
20,0857,712.298846,508.938936,284.485019,56.439724,39.426005,12.888444,21.164079,207.288753,60.346981,1903.276787
21,0858,718.087523,496.106277,283.735308,63.684495,44.048794,14.08659,23.175718,192.302258,54.830507,1890.057471
22,0859,628.235758,392.804516,222.237913,49.751481,33.048248,11.5796,20.286576,155.813625,44.746603,1558.504321
23,0861,768.093656,491.844047,285.707095,67.865273,39.495653,25.572493,24.679144,216.081515,55.238379,1974.577256
