,subjects,AV,CL,CM,CeM,L-Sg,LD,LGN,LP,MDl,MDm,MGN,MV(Re),Pc,Pf,Pt,PuA,PuI,PuL,PuM,VA,VAmc,VLa,VLp,VM,VPL,Whole_thalamus
0,0539,199.397562,47.874746,314.518,86.617439,24.301879,33.838128,292.417405,139.870865,373.849569,1036.963642,129.257462,18.29472,6.175509,75.467584,9.629057,297.090751,241.277096,238.572646,1335.290211,526.111069,42.991466,818.026431,1049.113958,36.621218,1128.552998,8502.121412
1,0697,164.196082,52.064557,260.989078,86.956586,26.337219,33.774306,267.550288,140.381209,226.121696,700.005682,139.871376,17.203811,4.958972,68.492805,8.024422,212.803752,227.228216,167.253933,1146.559844,417.217527,36.10654,642.831981,868.978782,22.227949,838.591375,6776.727989
2,0750,144.896365,42.98522,230.982038,77.153874,28.213645,41.79472,255.836387,159.20165,320.027892,892.348047,81.329685,19.966777,4.520426,65.029141,7.308873,245.600271,284.848123,176.916625,1132.127356,437.389714,35.799922,691.589956,896.221239,20.152296,891.580728,7183.820968
3,0756,170.909119,34.480583,274.096681,77.423058,20.326316,24.124998,291.168854,131.975101,326.831621,925.173968,94.541445,15.584245,5.253504,65.829103,7.851362,255.426667,286.392086,227.935391,1307.22837,498.569333,38.040597,786.341535,990.173173,25.320487,1024.830043,7905.827642
4,0832,128.006199,27.32785,282.829149,75.081912,43.958888,28.216808,308.047633,119.548991,325.701785,903.871546,175.146223,23.369604,4.872461,70.255001,8.791476,321.228244,316.044678,280.801986,1652.697936,451.921891,37.269913,664.560012,890.389294,32.85145,1223.540356,8396.331287
5,0835,140.564387,23.519835,237.3638,100.918393,25.945981,41.698335,253.001562,76.889956,330.310754,895.426658,152.535718,23.485014,5.362221,57.965227,6.652716,270.620138,210.694007,230.902489,1247.021742,492.067025,41.239099,663.209146,797.489006,16.887671,785.762789,7127.533667
6,0836,128.0715,28.195394,224.161275,78.315696,26.386706,29.847005,260.911793,103.249731,297.221044,870.164837,125.953607,19.530959,5.189542,52.175668,7.026232,257.869207,266.387455,182.692708,1194.521599,446.049512,36.963127,596.544718,760.915837,22.799208,867.201129,6888.345489
7,0838,113.333572,24.090944,243.093257,74.653241,16.528298,14.643471,307.197295,77.632128,258.701078,730.32483,114.991028,16.353143,4.116325,61.968351,6.922086,215.347564,289.232946,164.565776,1152.24803,392.749786,33.703815,582.920966,747.076324,20.711542,839.76355,6502.869345
8,0839,117.770312,20.368915,223.598838,63.801541,24.303328,16.444493,265.706128,99.15972,310.14115,850.617397,119.687068,14.093309,4.480802,49.874916,6.814185,248.352569,201.711507,203.439931,1139.815173,431.699096,30.911875,642.555053,791.130816,21.340219,888.36117,6786.179513
9,0840,120.869915,20.386534,190.120846,82.037482,19.468381,12.214424,218.906468,51.330612,226.84304,611.393496,121.697574,18.241867,4.848016,50.978588,6.016762,218.416609,203.821923,251.873812,1082.604587,397.376455,32.97731,541.387625,661.622953,15.398014,697.469978,5858.303271
10,0841,116.29365,23.067859,250.732612,75.963741,18.551501,20.883434,258.812028,96.343244,336.053693,889.374306,112.028727,18.274939,4.262293,62.889977,7.433196,229.294215,247.616098,168.955688,1170.14328,416.900467,33.913842,592.559415,764.167426,20.895663,870.231382,6805.642676
11,0842,116.811982,28.06442,243.284491,78.976793,18.179345,23.573833,326.143835,116.826663,340.983213,1027.726823,152.115976,20.278231,5.498602,60.464256,7.413533,268.725978,281.07822,184.668187,1324.291939,428.678445,37.30037,647.567556,829.020846,22.579446,905.397099,7495.650082
12,0844,156.305459,28.148484,270.240923,97.581943,18.082235,32.571666,240.290423,77.17513,323.122002,890.943967,111.751085,20.037528,5.822992,62.293597,7.799502,316.974048,261.895487,298.380098,1338.048217,540.357401,43.538478,763.568542,949.630303,26.461398,1038.041882,7919.062787
13,0845,143.887402,38.294327,250.61228,96.19781,13.968301,42.730213,276.243055,136.47112,263.543307,836.731111,75.990658,18.223829,5.394007,54.301986,6.880808,272.749023,363.705308,241.859688,1471.722004,450.770108,39.317664,616.706512,792.735674,22.884926,871.570481,7403.491602
14,0847,140.041691,24.697152,235.369091,83.956798,18.112518,47.322637,273.983885,91.591791,348.552657,984.942084,128.752167,22.099048,5.114935,63.588521,7.305316,268.356605,247.106518,208.295777,1240.506952,502.21553,39.432113,694.061013,895.603302,19.673566,876.677619,7467.359285
15,0849,98.643374,23.181842,233.187276,72.459695,18.147929,19.528708,275.04412,90.597169,258.80395,748.363504,126.217105,17.105354,4.418086,59.311404,6.560483,240.292576,265.711524,189.927504,1223.927689,391.962743,32.055106,576.445748,749.10087,22.703626,840.79966,6584.497047
16,0850,143.558906,28.139029,223.984302,71.529179,15.828153,26.158431,268.752886,104.879059,341.00794,982.500305,106.519797,16.328834,4.230323,52.218275,7.428775,253.710504,263.117113,148.122835,1276.121612,400.555045,32.977758,609.928759,813.844289,21.734123,900.746288,7113.92252
17,0852,115.19687,21.545748,225.72735,79.300883,20.582307,22.628182,232.335485,76.383453,297.431888,785.2208,124.286929,18.904032,4.520865,59.075473,6.690595,254.938279,207.132727,222.496809,1173.726486,425.384733,34.437201,619.577403,785.225486,19.605791,877.320262,6709.676038
18,0853,120.695918,25.405621,193.313689,70.861925,19.70313,22.033194,236.866798,83.087602,248.757662,730.064717,113.951019,15.873823,4.831353,46.733997,6.006964,215.778077,248.288672,182.707078,1151.576211,388.213441,31.717773,560.501555,676.447808,15.375008,701.703655,6110.496691
19,0856,131.744434,25.368168,236.330598,80.482807,16.634525,17.823442,241.189275,88.690911,343.81808,935.606687,90.040856,15.149489,5.452691,54.678883,6.984897,252.220611,231.875149,192.806146,1131.332254,473.264059,37.293437,684.113775,851.020865,23.793551,893.003599,7060.71919
20,0857,132.520163,26.371571,253.394635,88.292514,25.31104,13.929887,262.849233,100.206455,312.221748,932.838386,135.714006,19.403973,4.957778,57.894839,6.893742,280.288874,233.437503,234.642882,1328.961677,477.486564,37.802783,671.202892,849.985756,22.055013,904.480535,7413.144446
21,0858,130.892271,27.024784,223.129042,90.241173,19.540425,36.821143,290.536307,77.993198,301.003338,869.91331,113.157681,20.439691,5.305926,58.415784,7.199344,260.479314,269.79806,243.940055,1281.749151,426.748165,36.578876,588.508165,722.763062,21.700834,834.359972,6958.239071
22,0859,115.082664,21.715326,295.855297,92.677499,19.130138,8.208377,296.84251,79.402886,304.354549,897.887774,99.077964,18.237169,5.551181,62.948816,7.446891,262.599022,303.143423,234.659672,1398.817105,467.238968,40.960365,684.624399,865.981735,26.732218,963.58221,7572.758156
23,0861,183.88945,28.460903,266.13406,105.178929,20.384443,30.600881,253.093204,104.241026,318.222181,873.133005,123.054257,22.772429,6.43954,67.376122,8.064006,287.849599,232.688174,249.883284,1364.489405,559.721321,46.402329,745.930526,918.634878,23.239712,966.938573,7806.822236
24,0862,150.816316,28.784302,230.108154,81.30153,12.531661,16.868355,258.581851,110.097656,291.534388,837.741722,85.764515,15.150271,5.397877,50.993297,6.920352,238.826699,305.551898,176.16397,1299.955823,447.178571,36.74163,639.872574,806.220312,20.355352,846.410687,6999.869762
25,0863,144.815654,27.244987,252.330751,84.454265,13.515118,38.312278,296.887245,117.154105,286.074197,871.97196,92.782553,16.916735,5.449084,51.394884,7.484995,272.306977,291.323301,207.228429,1319.098478,441.769171,39.500885,661.380772,867.899174,23.295047,937.370729,7367.961774
26,0dexlx_TI-HL,111.122488,29.307885,188.072902,52.994446,17.778853,23.462949,255.264805,97.492756,233.418053,686.486631,113.905818,8.746212,3.554211,43.302401,6.239199,226.384075,264.441266,193.863409,1155.804631,296.386112,25.316262,468.960704,626.681857,18.990131,775.543561,5923.521618
27,0ke4ev_TI-HA,153.009159,30.59062,236.008028,62.031283,21.701505,20.936238,245.382067,107.823699,300.521281,805.617128,89.5287,9.212142,4.118805,59.415593,6.617521,228.315875,285.948566,194.766629,1145.056268,454.774418,31.839857,670.768221,814.949414,20.943517,838.477842,6838.354376
28,0m9ixv_TI-HA,135.878878,40.63905,228.348577,67.724407,23.09445,29.546319,220.60417,104.405079,192.24431,563.854074,97.848962,12.744854,3.590108,61.290812,6.752222,177.302768,216.455676,177.336343,981.862201,309.752335,27.56516,466.126913,659.751455,21.968606,781.619257,5608.306987
29,0tdwee_TI-HL,109.790826,28.454438,300.102012,61.766051,17.578927,22.727451,274.635836,136.614588,262.484161,709.129397,104.044938,11.076741,4.145129,78.463962,7.822908,230.608373,253.12705,216.856338,1069.639044,363.939088,32.10457,706.473091,955.348371,32.446687,1124.396561,7113.776537
30,0u0i08_TI-HL,92.04563,24.804755,308.56906,54.784915,27.046817,19.586461,274.84889,105.846086,282.365499,734.360252,136.650605,10.221065,4.417027,83.341154,8.849861,246.256317,259.345575,214.808093,1173.519633,345.149697,29.508845,626.560115,895.593845,38.260443,1249.208845,7245.949483
31,0v2pek_NT-HA,119.451333,29.63748,253.664315,48.137959,34.277296,14.44683,212.030106,94.632874,214.295663,588.268236,127.054524,7.350082,3.595001,62.116838,7.081542,220.814029,222.924784,201.058028,1094.869947,402.049512,28.758232,665.867161,890.04828,20.772621,980.378889,6543.581563
32,1004,151.64062,23.777144,262.905291,73.951658,27.913632,22.493137,279.589031,114.040784,337.960695,909.803689,97.877462,14.495512,5.055955,69.715692,7.803466,312.500601,331.503048,291.346761,1397.968433,436.693078,35.394081,725.041011,968.255287,27.65466,1078.686309,8004.067035
33,1006,112.742519,25.838416,227.945016,76.483185,19.609707,21.783267,280.11277,98.558789,304.157149,892.4823,107.693914,15.471595,4.441857,52.944585,6.513893,247.021946,278.123413,168.762547,1221.414572,394.723093,34.114851,581.305201,732.209535,20.743732,817.800277,6742.998129
34,1008,128.896721,22.731376,308.183852,71.654131,23.731586,29.698787,350.111501,109.545602,392.083404,1103.614778,147.006357,14.839384,6.098526,62.723688,8.15836,312.343935,294.776196,237.270727,1489.213909,454.679145,38.025078,752.574981,968.427672,33.56293,1055.945989,8415.898615
